ID_,Title,Subtitle,Version,Genre,Genre2,BPM,Composer,Writer,Arranger,Artist,Singer,PlayTime,Tag,VersionTag,OwnBG,License,Status,Remark,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,DiscLevel_EZ_NM_HD_MX_SC,UserLevel_EZ_NM_HD_MX_SC,Premium
116,♪_Astro_Fight_SC,_,Original,Funky_Stomp,fj,183,Forte_Escape,none,Forte_Escape,ECO,none,112,ASTROSC,ORG,none,Pentavision,offair,_,99_99_16_99_99,99_99_100_99_99,99_99_18_99_99,99_99_100_99_99,0
117,♪_Sweet,_,Original,K_Pop,pp,128,lee_juno&lee_jinwook,lee_juno,lee_juno,none,lee_yoongjin,126,Sweet,ORG,none,License,onair,_,2_5_9_10_99,1_5_9_5_99,2_6_10_10_99,1_6_10_5_99,1
118,♪_Tammuz,_,Original,Trance,te,140,Forte_Escape,none,Forte_Escape,ECO,none,148,Tammuz,ORG,own,Pentavision,onair,_,2_7_9_99_99,1_7_9_99_99,3_8_9_99_99,1_8_9_99_99,1
119,♪_Red,_,Original,RnB,hr,128,Croove,JC,Croove,Tari&Eter,So_Fly,126,Red,ORG,own,Pentavision,onair,_,3_6_8_12_99,1_6_8_20_99,4_7_10_12_99,1_7_10_20_99,1
120,♪_Brand_New,_,Original,K_Pop,pp,103,박근태&조영수,안영민,박준호,none,신화,125,Brandnew,ORG,none,License,onair,_,2_5_8_99_99,1_5_8_99_99,2_5_8_99_99,1_5_8_99_99,1
121,♪_Rock_or_Die,_,Original,Hard_Core,rh,106,NieN,NieN,NieN&M2U,BS,NieN,106,Rockordie,ORG,own,Pentavision,onair,_,4_7_10_10_99,1_7_10_3_99,4_7_10_12_99,1_7_10_3_99,1
122,♪_Oblivion_SC,_,Original,Dramatic_Trance,te,141,ESTi,none,ESTi,D-myo,none,123,OBLIVIONSC,ORG,none,Pentavision,offair,_,99_99_12_99_99,99_99_100_99_99,99_99_15_99_99,99_99_100_99_99,1
123,♪_Bright_Dream,_,Instrumental,Anime_House,hd,130,M2U,none,M2U,none,none,118,Brightdreamins,ORG,none,Pentavision,onair,_,2_7_9_99_99,1_7_9_99_99,2_7_9_99_99,1_7_9_99_99,0
124,♪_Oh!,_,Original,K_Pop,pp,101,이민우,신혜성&이민우,이민우,none,신화,128,Oh,ORG,none,License,onair,_,1_4_7_99_99,1_4_7_99_99,1_4_7_99_99,1_4_7_99_99,1
125,♪_Reload,_,Original,K_Pop,pp,105,은지원,은지원&TYFOON&JUVIE_TRAIN,은지원,none,은지원,123,Reload,ORG,none,License,onair,_,2_5_8_99_99,1_5_8_99_99,2_5_8_99_99,1_5_8_99_99,1
126,♪_ela(bajo_de_la_luna),_,Original,K_Pop,pp,126,lee_juno&lee_jinwook,lee_juno,lee_juno,none,lee_yoongjin,136,bajo,ORG,none,License,onair,_,2_6_8_99_99,1_6_8_99_99,2_7_9_99_99,1_7_9_99_99,1
127,♪_슬픔을_이기는_기도,_,Original,K_Pop,pp,103,부활,부활,부활,none,부활,140,Lnight2,ORG,none,License,onair,_,2_5_8_99_99,1_5_8_99_99,2_5_8_99_99,1_5_8_99_99,0
128,♪_Cherokee_SC,_,Original,Trance_Fusion,te,136,xxdbxx,none,xxdbxx,none,none,128,CHEROKEESC,ORG,none,Pentavision,offair,_,99_99_13_99_99,99_99_100_99_99,99_99_14_99_99,99_99_100_99_99,0
129,♪_추억이면,_,Original,K_Pop,pp,74,부활,부활,부활,none,부활,142,Chuok,ORG,none,License,onair,_,2_4_6_99_99,1_4_6_99_99,2_4_6_99_99,1_4_6_99_99,0
130,♪_Bright_Dream,_,Vocal,Anime_House,hd,130,M2U,이선일,M2U,Tari&Eter,Tari,118,Brightdreamvc,ORG,own,Pentavision,onair,_,2_7_9_99_99,1_7_9_99_99,2_7_9_99_99,1_7_9_99_99,1
131,♪_모짜르트_교향곡40번1악장_SC,_,Original,Classic,cs,135,모짜르트,none,김창훈,none,none,112,SYMPHONY40SC,ORG,none,Pentavision,offair,_,99_99_13_99_99,99_99_100_99_99,99_99_13_99_99,99_99_100_99_99,0
132,♪_JBG_SC,_,Original,Yellow_Hiphop,hr,102,Croove,JC,Croove,Eyehead,JC,129,JBGSC,ORG,none,Pentavision,offair,_,99_99_14_99_99,99_99_100_99_99,99_99_14_99_99,99_99_100_99_99,1
133,♪_miles_SC,_,Original,Electro_Fusion,fj,130,Electronic_Boutique,none,Electronic_Boutique,NONE,none,129,milesSC,ORG,none,Pentavision,offair,_,99_99_15_99_99,99_99_100_99_99,99_99_16_99_99,99_99_100_99_99,0
134,♪_Minimal_Life,_,Original,Techno,te,145,EarBreaker,none,EarBreaker,ECO,none,150,Minimallife,ORG,own,Pentavision,onair,_,3_6_11_99_99,1_6_11_99_99,3_7_11_99_99,1_7_11_99_99,1
135,♪_여왕벌의_행진,_,Original,Classic,cs,142,Rimskii_Korsakov,none,blueM,none,none,114,QueenBee,ORG,none,License,onair,_,3_8_11_13_99,1_8_11_17_99,3_8_11_13_99,1_8_11_17_99,1
136,♪_단념,_,Original,K_Pop,pp,120,박근철,MAYBEE,BRIAN_KIM,NONE,Tei,135,Dannyum,ORG,none,License,onair,_,2_6_7_99_99,1_6_7_99_99,2_6_7_99_99,1_6_7_99_99,1
137,♪_Cosmic_Elevator,_,Original,Ani_Pop,hd,164,Forte_Escape,none,Forte_Escape,none,none,147,CosmicElevator,ORG,none,Pentavision,onair,_,2_6_11_99_99,1_6_11_99_99,2_7_10_99_99,1_7_10_99_99,0
138,♪_A_．I,_,Original,Techno,te,138,Forte_Escape,none,Forte_Escape,Kinys,none,146,AI,ORG,own,Pentavision,onair,_,3_7_11_11_99,1_7_11_15_99,3_7_11_11_99,1_7_11_15_99,1
139,♪_Lemonade,_,Original,Lounge_DnB,hd,195,M2U,M2U,M2U,Tari&Eter,Tari,137,Lemonade,ORG,own,Pentavision,onair,_,3_8_12_99_99,1_8_12_99_99,4_8_12_99_99,1_8_12_99_99,1
140,♪_Memory_of_Beach,_,Original,Dance_Pop,hd,130,M2U,M2U,M2U,AP,Sanch,133,Memoryofbeach,ORG,own,Pentavision,onair,_,2_7_11_99_99,1_7_11_99_99,2_7_11_99_99,1_7_11_99_99,0
141,♪_Fear,_,Original,DnB,te,182,슈퍼꼬마,none,슈퍼꼬마,Tina,none,122,Fear,ORG,own,Pentavision,onair,_,3_5_10_99_99,1_5_10_99_99,3_6_10_99_99,1_6_10_99_99,1
142,♪_Avemaria,_,Original,Classic,cs,158,Schubert,none,blueM,none,none,115,Avemaria,ORG,none,License,onair,_,2_7_9_99_99,1_7_9_99_99,2_7_9_99_99,1_7_9_99_99,1
143,♪_Another_Love,_,Original,K_Pop,pp,127,이정훈,김진용,none,NONE,Tei,123,Anotherlove,ORG,none,License,onair,_,2_5_10_99_99,1_5_10_99_99,2_6_10_99_99,1_6_10_99_99,1
144,♪_Banana_shake,_,Original,K_Pop,pp,126,이지린,Hiroaki_samura,이지린,NONE,Humming_Urban_Stereo,128,Bananashake,ORG,none,License,onair,_,1_6_7_99_99,1_6_7_99_99,2_6_8_99_99,1_6_8_99_99,1
145,♪_Delicious_humming,_,Original,K_Pop,pp,124,이지린,NONE,이지린,NONE,Humming_Urban_Stereo,119,Delicious,ORG,none,License,onair,_,2_6_10_99_99,1_6_10_99_99,2_6_10_99_99,2_6_10_99_99,1
146,♪_Dreadnought,_,Original,Big_Beat,te,140,EarBreaker,none,EarBreaker,ECO,none,140,Dreadnought,ORG,own,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,3_7_10_99_99,1_7_10_99_99,1
147,♪_Chase_575,_,Original,D&B_stomp,te,170,Forte_Escape,none,Forte_Escape,Kinys,none,119,Chase575,ORG,own,Pentavision,onair,_,3_7_11_99_99,1_7_11_99_99,3_7_11_99_99,1_7_11_99_99,1
148,♪_Living_on_The_Beat,_,Original,Teggae,te,147,Forte_Escape,none,Forte_Escape,none,none,136,Livingon,ORG,none,Pentavision,onair,_,3_5_9_99_99,1_5_9_99_99,3_5_9_99_99,1_5_9_99_99,0
149,♪_Brave_it_out,_,Original,Aggressive_Funk,fj,124,GonZo,Harlem_Key,GonZo,Tina,Bloom,116,Braveitout,ORG,own,Pentavision,onair,_,2_7_10_99_99,1_7_10_99_99,3_7_10_99_99,1_7_10_99_99,1
150,♪_Bob줘,_,Original,K_Pop,pp,105,이재승,이재승,이재승,NONE,Humming_Urban_Stereo,124,bobjo,ORG,none,License,onair,_,2_6_9_99_99,1_6_9_99_99,2_6_9_99_99,1_6_9_99_99,1
151,♪_두근두근(PIT-A-PAT),_,Original,K_Pop,pp,105,박창현,박창현,박창현,none,BoA,136,Pitapat,ORG,none,License,onair,_,2_4_7_99_99,1_4_7_99_99,2_4_7_99_99,1_4_7_99_99,1
152,♪_Chrono_Breakers,_,Original,Ani_Pop,rh,178,NieN,NieN,NieN&M2U,RESS,NieN,135,ChronoBreakers,ORG,own,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,2_6_10_99_99,1_6_10_99_99,1
153,♪_STEPPING_OUT-STEP_REMIX-,_,Original,K_Pop,pp,130,김성훈,김성훈,김성훈,NONE,Christina,136,Steppingout2,ORG,none,License,onair,_,2_9_99_99_99,1_9_99_99_99,2_9_99_99_99,1_9_99_99_99,1
154,♪_Scully_Doesn＇t_Know,_,Original,K_Pop,pp,120,이지린,이용희,이지린,NONE,shina-e,133,ScullyK,ORG,none,License,onair,_,2_4_6_99_99,1_4_6_99_99,2_4_8_99_99,1_4_8_99_99,1
155,♪_봄의노래,_,Original,Classic,cs,145,MendelsSohn,none,blueM,none,none,107,Songofspring,ORG,none,License,onair,_,3_8_11_99_99,1_8_11_99_99,3_8_10_99_99,1_8_10_99_99,1
156,♪_Road_of_Death,_,Original,Hardcore,rh,180,NieN,NieN,NieN&M2U(Aqua_Records),necobus,NieN,130,Roadofdeath,ORG,own,Pentavision,onair,_,3_8_13_99_99,1_8_13_99_99,4_9_13_99_99,1_9_13_99_99,1
157,♪_Real_Life,_,Original,K_Pop,pp,100,고영환,이윤경,고영환,NONE,BMK,131,Reallife,ORG,none,License,onair,_,2_5_8_99_99,1_5_8_99_99,2_5_8_99_99,1_5_8_99_99,1
158,♪_Urban_Night,_,Original,Urban_House,fj,124,Electronic_Boutique,none,Electronic_Boutique,Tina,none,128,Unight,ORG,own,Pentavision,onair,_,2_5_10_99_99,1_5_10_99_99,2_5_10_99_99,1_5_10_99_99,1
159,♪_Again_Sunshine,_,Original,Ani_Pop,te,161,Forte_Escape,none,Forte_Escape,Kinys,none,141,Asunshine,ORG,own,Pentavision,onair,_,2_6_11_99_99,1_6_11_99_99,2_6_10_99_99,1_6_10_99_99,1
160,♪_Starfish,_,Original,Techno_Core,rh,150,Planetboom,Planetboom,Planetboom,Tari&Eter,Planetboom,131,Starfish,ORG,own,Pentavision,onair,_,3_7_10_99_99,1_7_10_99_99,2_7_10_99_99,1_7_10_99_99,1
161,♪_The_Tokyo,_,Original,Trance,te,143,I．B．I．S,none,I．B．I．S,none,none,122,Tokyo,ORG,none,License,onair,_,2_5_11_99_99,1_5_11_99_99,2_5_11_99_99,1_5_11_99_99,0
162,♪_비발디_사계中_여름_3악장,_,Original,Classic,cs,150,비발디,none,WavFactory,ECO,none,133,Summer3,ORG,own,Pentavision,onair,_,3_9_12_99_99,1_9_12_99_99,3_9_12_99_99,1_9_12_99_99,1
163,♪_FallenAngel,_,Original,Modern_Rock,pp,142,DJ_Mocha,DJ_Mocha,DJ_Mocha,Tari&Eter,Yujin,120,Fangel,ORG,own,Pentavision,onair,_,2_6_10_99_99,1_6_10_99_99,2_5_9_99_99,1_5_9_99_99,1
164,♪_Seeker,_,Original,Trance,te,150,M2U,none,M2U,Ayamy,none,137,Seeker,ORG,own,Pentavision,onair,_,4_10_13_99_99,1_10_13_99_99,4_10_14_99_99,1_10_14_99_99,1
